Loss,Step,FPS,EpisodeScore
0.09893543060562764,100,3,-1.1111111111111107
0.11024750110926107,200,3,-1.4285714285714286
0.11518900463590402,300,2,6.875
0.1420955119095742,400,2,8.0
0.188747155163437,500,1,14.5
0.25474140375852583,600,1,10.499999999999998
0.27991321384906775,700,1,17.272727272727273
0.2777791985869408,800,1,12.777777777777779
0.2697185615077615,900,1,12.727272727272728
0.3052082510665058,1000,1,10.0
0.31718354236334595,1100,1,8.5
0.3545226781070233,1200,1,9.583333333333334
0.37379627071321,1300,1,14.375
0.32849798582494266,1400,1,15.90909090909091
0.3250255950540302,1500,1,13.999999999999998
0.29602401651442023,1600,1,14.999999999999998
0.2753317047283052,1700,1,15.833333333333334
