episode_score
-10
0
-10
5
-10
15
0
10
0
0
-10
0
-10
0
0
0
5
10
0
0
15
10
5
0
5
10
10
25
25
0
5
10
0
5
30
5
10
0
5
10
0
0
0
5
0
25
0
0
0
10
25
15
30
10
29
0
0
25
0
10
25
0
0
10
15
25
0
10
10
10
0
29
0
10
0
25
0
10
29
10
10
25
0
10
10
25
10
10
10
10
25
25
15
10
10
25
25
10
10
0
25
10
25
25
5
10
15
25
25
25
10
30
10
25
10
25
5
25
10
25
15
10
10
10
35
10
10
10
0
25
25
10
10
25
25
10
25
10
30
10
25
29
25
10
15
10
25
25
25
15
25
10
10
25
15
10
15
10
30
15
0
10
10
35
25
25
30
25
25
10
0
10
5
25
10
25
10
10
10
10
0
25
25
15
10
25
29
25
25
25
25
25
15
10
25
15
25
25
30
25
10
25
29
30
25
25
15
